,DIR_ID,DIRECTOR_NAME,YEARS_ACTIVE,LAST_NAME,FIRST_NAME,INVOLVEMENT
112,DnA,Attias,1985,Attias,Daniel,D
113,JqA,Audry,1948-1966,Audrey,Jaqueline,D
114,IHA,Auer,1935-1957,Auer,John H.,D
115,MAu,Auger,1944-1977,Auger,Kenneth,D
116,BiA,August,1988-1997,August,Bille,WD
117,JAu,Aurel,1969-1970,Aurel,Jean,D
118,PAu,Auster,1998,Auster,Paul,WD
119,RAu,Austin,1970-1983,Austin,Ray,D
120,CAL,AutantLara,1933-1970,Autant-Lara,Claude,D
121,IoA,Auzins,1983,Auzins,Igor,D
122,PuA,Avati,1990,Avati,Pupi,D
123,HAv,Avedis,1981,Avedis,Howard,D
124,HyA,Averback,1970-1984,Averback,Hy,D
125,IAv,J.G.Avildson,1967-1983,Avildson,John G.,D
126,TAv,T.Avildson,1982,Avildson,Tom,D
127,JAv,Avnet,1991,Avnet,Jon,WDP
128,xAx,Axelman,1969,Axelman,Un,D
129,GAd,G.Axelrod,1966-1968,Axelrod,George,WPD
130,GAx,Axelrod,1988,Axelrod,Gxx,D
131,EAy,Ayca,1988,Ay{c}ca,Engin,D
132,HeB,Babenco,1975-1991,Babenco,Hector,D
133,LlB,Bacon,1926-1954,Bacon,Lloyd,D
134,GiB,Bachmann,1970,Bachmann,Gideon,D
135,FrB,Back,1970-1994,Back,Frédérick,D
136,CBa,Badger,1919-1939,Badger,Clarence,D
137,IBa,Badham,1971-1988,Badham,John,D
138,MxB,M.Baer,1975-1976,Baer,Max jr,ADP
139,LzB,L.Baer,1990,Baer,Liza,D
140,FxB,Bahr,1991,Bahr,Fax,D
141,JoB,Baier,1991,Baier,Jo,D
142,CkB,Bail,1976,Bail,Chuck,D
143,IBl,Bailey,1991-1994,Bailey,John,D
144,SBd,Baird,1996,Baird,Stuart,D
145,GrB,G.Baker,1981-1988,Baker,Graham,D
146,RSB,R.S.Baker,1950-1961,Baker,Robert S.,PD
147,RWB,R.W.Baker,1934-1981,Baker,Roy Ward,DP
148,RBa,Bakshi,1971-1982,Bakshi,Ralph,WD
149,CBx,Baxley,1988,Baxley,Craig R.,D
151,JBm,Balsmeyer,1991,Balsmeyer,Jeff,D
153,AxB,Balabanov,1998,Balabanov,Alexei,D
154,MwB,Barney,1992,name1,Matthew,D
155,xBa,Batabas,1993,Bartabas,gn,D
156,BoB,Bob Balaban,1989,Balaban,Bob,AD
157,BB,Burt Balaban,1957-1966,Balaban,Burt,DP
159,RAB,Baldwin,1917,Baldwin,Ruth Ann,D
160,CBd,C.Ballard,1980-1983,Ballard,Carroll,D
161,IBd,J.Ballard,1980,Ballard,John,DW
164,ABd,Band,1956-1957,Band,Afredo (Albert),DPW
165,MBa,Banks,1931-1941,Bianchi,Mario (Monty),AD
166,YBa,Banno,1971,Banno,Yoshimitsu,D
167,AlB,Bano,1978,Bano,Albert,D
168,NBa,N.Barker,1998,Barker,Nicholas,D
169,ReB,R.Barker,1914,Barker,Reginald,D
171,IvB,Barnett,1949,Barnett,Ivan,D
172,BuB,Barret,1927,Barret,Bruno,D
173,BBa,B.Barreto,1976,Barreto,Bruno,D
174,LBa,L.Barreto,1953,Barreto,Lima,D
176,SlB,Barrett,1997,Barrett,Shirley,D
177,SBa,Barron,1990-1993,Barron,Steve,D
178,LiB,Barrymore,1938-1945,Blythe,Lionel,AWD
179,PBa,Bartel,1972-1989,Bartel,Paul,DAW
180,HaB,Bartlett,1955-1978,Bartlett,Hall,WPD
181,TuB,Basaran,1991,Basaran,Tunc,D
182,CTB,Barton,1948-1959,Barton,Charles T.,D
183,SBs,Bass,1974,Bass,Saul,D
184,MaB,Bava,1960-1971,Bava,Mario,CDW
185,MBy,Bay,1995,Bay,Michael,D
186,RBB,Bean,1971,Bean,Robert B.,D
187,WBe,Beatty,1978-1998,Beatty,Warren,APWD
188,WiB,Beaudine,1923-1966,Beaudine,William,D
189,CBe,Ch.Beaumont,1981,Beaumont,Charles,WD
190,HB,H.Beaumont,1929-1947,Beaumont,Harry,D
191,Hbe,H.Becker,1979-1989,Becker,Harold,D
192,JqB,J.Becker,1942-1960,Becker,Jacques,WD
193,TeB,Bedford,1983,Bedford,Terry,D
194,FoB,Beebe,1938-1954,Beebe,Ford,DPW
195,JJB,Beineix,1981-1988,Beineix,Jean-Jacques,D
196,MiB,Belikov,1989,Bilikov,Mikhael,D
197,JPB,Bekolo,1993,Bekolo,Jean-Pierre,D
198,MoB,Mo.Bell,1925,Bell,Monta,D
199,MtB,Mt.Bell,1984-1993,Bell,Martin,D
200,EBy,Bellamy,1966-1977,Bellamy,Earl,D
201,MBe,Bellocchio,1965-1994,Bellocchio,Marco,WD
202,JBs,Belson,1982,Belson,Jerry,D
203,RBx,Belvaux,1992,Belvaux,Remy,AD
204,MBc,Benacerraf,1958,Benacerraf,Margot,D
206,LaB,Benedek,1954,Benedek,Laszlo,D
207,ShB,Benegal,1970,Benegal,Shyam,D
208,RrB,Benigni,1992,Benigni,Roberto,AWD
209,RiB,Benjamin,1982-1993,Benjamin,Richard,D
210,RBn,Benner,1977,Benner,Richard,D
211,SGB,Bennet,1930-1965,Bennett,Spencer Gordon,D
212,AaB,A.Bennett,1964-1993,Bennett,Alan,WD
213,CoB,C.Bennett,1945-1965,Compton-Bennett,Robert,ED
216,JWB,Benoit,1990,Benoit,Jaques W.,D
217,JBL,BenoitLevy,1933-1943,Benoit-Lévy,Jean,D
218,ThB,Bentley,1930-1941,Bentley,Thomas,D
219,RBe,Benton,1970-1994,Benton,Robert,WVD
220,BrB,Beresford,1976-1991,Beresford,Bruce,D
221,PBe,Berg,1998,Berg,Peter,D
222,LuB,Berger,1922-1950,Berger,Ludwig,D
223,AnB,A.Bergman,1981-1996,Bergman,Andrew,WD
224,DnB,D.Bergman,1994,Bergman,Daniel,D
225,InB,I.Bergman,1956-1982,Bergman,Ingmar,DWP
226,ElB,Bergstein,1987,Bergstein,Eleanor,D
227,WlB,Berke,1945-1952,Berke,William,D
228,BBe,Berkeley,1935-1949,Enos,William `Busby',GMD
229,ABe,Berliner,1997,Berliner,Alain,D
230,LGB,Berlanga,1952,Berlanga,Luis Garcia,D
232,SBe,Bernasconi,1980,Bernasconi,Stephane,D
233,EBe,Bernds,1951-1962,Bernds,Edward,WD
234,CuB,Bernhardt,1920-1964,Bernhardt,Curtis (Kurt),DP
236,LBv,Berovici,1995,Berovici,Luca,D
237,WaB,W.Bernstein,1980,Bernstein,Walter,D
238,CB,Cl.Berri,1964-1988,Berri,Claude,WD
239,IBe,Berry,1945-1978,Berry,John,D
241,LBe,Besson,1978-1994,Besson,Luc,D
242,FBe,Beyer,1966,Beyer,Frank,D
243,TBe,Beyer,1998,Beyer,Tony,D
244,EBi,Bianchi,1980,Bianchi9,Edward,D
245,AbB,A.Biberman,1956-1957,Biberman,Abner,AD
246,HJB,H.Biberman,1935-1969,Biberman,Herbert J.,DWP
247,RBi,Bierman,1989,Bierman,Robert,D
248,TBi,Bigat,1989,Bigat,Tony,WDM
249,KBg,Bigelow,1985,Bigelow,Kathryn,D
250,JBi,Bigood,1971,Bigood,Jim,D
251,JbB,Bijl,1992,Bijl,Jacob,D
252,TBl,Bill,1980-1993,Bill,Tony,D
253,KBi,Billington,1968-1971,Billington,Kevin,D
254,PBi,Billon,1943,Billon,Pierre,D
255,BBi,Bilson,1979,Bilson,Bruce,D
256,MBi,Binder,1993,Binder,Mike,D
257,PaB,Birch,1982,Birch,Patricia,D
258,AtB,Bird,1998,Bird,Antonia,D
259,RuB,Birdwell,1957,Birdwell,Russell,D
260,ABi,Birkin,1988-1994,Birkin,Andrew,D
263,EdB,E.Black,1938,Black,Edward,D
264,NoB,N.Black,1968-1983,Black,Noel,D
265,RBl,Blackburn,1974,Blackburn,Richard,DA
266,ISB,Blackton,1910,Blackton,J.Stuart,D
267,CBl,Blackwood,1961-1992,Blackwood,Christan,CWDP
268,LeB,Blair,1993,Blair,Les,D
269,BKB,Blake,1938,Blake,Ben K.,D
270,MBl,Blanc,1985,Blanc,Michel,AWD
271,HBl,Blanche,1920,Blanche,Herbert,D
273,JBk,Blanks,1998,Blanks,Jamie,D
274,ABl,Blasetti,1955,,Blasetti,D
275,EAB,Blatt,1945,Blatt,Edward A.,D
276,JfB,Bleckner,1998,Bleckner,Jeff,D
277,BnB,Bn.Blier,1967,Blier,Bernard,AD
278,BtB,Bt.Blier,1962-1978,Blier,Bertrand,D
279,ByB,Bliss,1983,Bliss,Barry,D
280,BW,Robert Bloch,1960-1971,Bloch,Robert,D
281,AuB,Blom,1911,Blom,August,D
282,JeB,Bloom,1981,Bloom,Jeffrey,D
283,GBl,Bloomfield,1972-1980,Bloomfield,George,D
284,DBl,Bluth,1986-1994,Bluth,Don,VDP
285,IGB,Blystone,1925-1938,Blystone,John G.,AD
286,HtB,Bochner,1994,Bochner,Hart,AD
287,SBo,Bodrov,1997,Bodrov,Sergei,D
288,BBo,Boetticher,1944-1969,Boetticher,"Oscar, Budd",D
290,PlB,P.Bogart,1968-1975,Bogart,Paul,D
291,YuB,Bogayevicz,1993,Bogayevicz,Yurek,D
292,PBo,Bogdanovich,1968-1981,Bogdanovich,Peter,DPW
294,WBo,Bogner,1980,Bogner,Willy,D
295,JBo,Boivin,1993,Boivin,Jerome,D
296,RyB,Boleslawski,1917-1937,Srzednick,Ryszart Boleslaw,D
297,MBn,Bolognini,1974,Bolognini,Mauro,D
298,GzB,Bolvary,1928,Bolvary,Geza,D
299,CrB,Bolotin,1992,Bolotin,Craig,D
300,SB,Bondartchuk,1959-1982,Bondartchuk,Sergei,AD
301,MBo,Bonnard,1960,Bonnard,Mario,D
302,IBo,Boorman,1965-1981,Boorman,John,D
303,ABo,Borman,1993,Borman,Arthur,D
304,WRB,Booth,1901,Booth,G.R.,D
305,WBz,Borowczyck,1967-1981,Borowczyck,Walerian,WD
306,PB,Borsos,1983-1994,Borsos,Phillip,DW
307,FB,Borzage,1920-1959,Borzage,Frank,D
308,IBt,J.Boulting,1937-1979,Boulting,John,WPD
309,RBt,R.Boulting,1944-1979,Boulting,Roy,WDP
310,HBo,Bouzagio,1988,Bouzagio,Haim,D
311,SBg,Bourgignon,1969,Bourgignon,Serge,D
312,JrB,Bowen,1988,Bowen,Jerry,D
313,GBo,Bowers,1980-1983,Bowers,George,D
315,MuB,Box,1952-1964,Box,Muriel,WPD
317,DBd,D.Boyd,1981,Boyd,Don,D
318,DlB,Dan.Boyd,1990,Boyd,Daniel,D
319,DBo,Boyle,1996,Boyle,Danny,D
320,JBd,J.Boyd,1985,Boyd,Julianne,D
321,BBz,Bozetto,1990,Bozetto,Brono,D
322,ChB,Brabin,1918-1934,Brabin,Charles,D
326,DBy,Bradley,1941-1964,Bradley,David,D
328,AB,A.Bragaglia,1916,Bragaglia,Anton Giulio,D
329,CLB,C.Bragaglia,1950,Bragaglia,Carlo Ludovico,D
330,IB,Brahm,1930-1967,Brahm,Hans (John),D
331,MBb,Brambilla,1993-1997,Brambilla,Marco,D
332,KBr,Branagh,1989-1996,Branagh,Kenneth,ADP
333,KaB,Brandauer,1990,Brandauer,Karin,D
334,MBd,Brando,1961,Brando,Marlon,AD
335,FBr,Brannon,1949-1952,Brannon,Fred,D
336,MlB,Brault,1980,Brault,Michel,D
337,TBs,Brass,1940-1989,Brass,Tinto,D
339,EmB,Breer,1991,Breer,Emily,D
342,CaB,Breillat,1989,Breillat,Catherine,D
343,TBr,Brelis,1994,Brelis,Tia,D
344,HBn,Brenon,1913-1931,Brenon,Herbert,DAP
345,RtB,Bresson,1943-1983,Bresson,Robert,D
346,MBr,Brest,1979-1988,Brest,Martin,D
347,HoB,Bretherton,1927-1950,Bretherton,Howard,D
349,JuB,Bricken,1956-1957,Bricken,Jules,D
351,MBm,M.Brickman,1980,Brickman,Marshall,WDP
352,PBm,P.Brickman,1983-1989,Brickman,Paul,WPD
353,JaB,Bridges,1970-1989,Bridges,James,WD
354,GuB,Brignone,1926,Brignone,Guido,D
355,SvB,Brill,1995,Brill,Steven,WD
356,JCB,Brisseau,1992,Brisseau,Jean-Claude,D
357,HMB,Brode,1989,Brode,Henrijk M.,D
358,PeB,Brook,1952-1970,Brook,Sir Peter,D
359,ABr,A.Brooks,1985,Brooks,Albert,ADW
360,BBr,B.Brooks,1980,Brooks,Bob,D
361,JBr,Joe Brooks,1977,Brooks,Joseph,WD
362,JLB,J.L.Brooks,1983,Brooks,James L. (Jim),WPD
363,MB,Mel Brooks,1969-,Kaminsky,Melvin,WDPA
364,RcB,R.Brooks,1950-1982,Brooks,Richard,BWDP
365,NBr,Broomfield,1991-1998,Broomfield,Nick,D
366,EBr,Bross,1998,Bross,Eric,D
367,BaB,Ba.Brown,1979,Brown,Barry,D
368,BBw,Br.Brown,1966-1994,Brown,Bruce,WPDC
369,CBw,Cl.Brown,1920-1951,Brown,Clarence,DP
371,JBw,J.Brown,1965,Brown,James,D
372,KBw,K.Browning,1985,Browning,Kirk,D
373,TB,T.Browning,1918-1939,Browning,Tod,D
374,CBm,Bruckman,1927-1935,Bruckman,Clyde,WD
375,id,Jerry Bruckheimer,1997,Bruckheimer,Jerry,P
376,AdB,Brunel,1921-1940,Brunel,Adrian,D
377,BBy,Bryant,1980,Bryant,Bruce,D
378,CBy,C.Bryant,1922,Bryant,Charles,D
380,LBn,Buchanan,1966-1981,Buchanan,Larry,DW
381,DBu,Buchowetzski,1924,Buchowetzski,Dimitri,D
382,FBu,Buck,1932-1942,Buck,Frank,DA
383,ABz,Buckhantz,1983,Buckhantz,Alan,D
384,CBu,Bucksey,1988-1990,Bucksey,Colin,D
385,NBu,Buckner,1984,Buckner,Noel,D
386,HBu,Bucquet,1939-1945,Bucquet,Harold S.,D
387,RzB,Bugajski,1982,Bugajski,Ryszard,D
388,LBu,Bunin,1951,Bunin,Louis,PD
389,LB,Bunuel,1928-1977,Buñuel,Luis,WD
390,MBu,Buntzman,1984,Buntzman,Mark,DP
391,StB,Burge,1960-1970,Burge,Stuart,D
392,MnB,Burke,1981,Burke,Martyn,D
394,CBt,Burnett,1977-1997,Burnett,Charles,WD
395,ABu,A.Burns,1986,Burns,Allan,WD
396,EBu,E.Burns,1995,Burns,Ed,AWD
397,KBu,K.Burns,1974-1997,Burns,Ken,D
398,TBu,Burstall,1981,Burstall,Tim,D
399,DBr,D.Burton,1934-1940,Burton,David,D
400,TiB,T.Burton,1985-1997,Burton,Tim,D
402,SBu,Buscemi,1996,Buscemi,Steve,AWD
403,WHB,Busnell,1989,Busnell,William H.,D
404,DaB,D.Butler,1927-1967,Butler,David,ADP
405,GeB,G.Butler,1976-1989,Butler,George,DA
406,RBu,R.Butler,1978-1984,Butler,Robert,D
407,EBz,Buzzell,1932-1961,Buzzell,Edward,ADW
408,IBy,Byrum,1980-1984,Byrum,John,D
409,JsC,Caan,1980,Caan,James,AD
410,CCb,Cabanne,1940,Cabanne,Christy,D
411,MCy,Cacoyannis,1953-1976,Cacoyannis,Michael,D
412,ACf,Cadiff,1997,Cadiff,Andy,D
413,ELC,E.L.Cahn,1931-1963,Cahn,Edward L.,D
416,SCz,Caiozzi,1990,Caiozzi,Silvio,WDP
417,SCa,Callow,1991,Callow,Simon,D
418,xCm,Camerini,1933,Camerini,Mario,D
419,JCm,J.Cameron,1978-1994,Cameron,James,VDWP
420,KCm,K.Cameron,1992,Cameron,Ken,D
421,DCa,Cammell,1969-1977,Cammell,Donald,D
422,JCp,Camp,1981-1982,Camp,Joe,D
423,JJC,Campanella,1998,Campanella,Juan J.,D
424,PFC,Campanile,1970-1971,Campanile,Pasquale Festa,D
425,CoC,C.Campbell,1914,Campbell,Colin,D
426,MtC,M.Campbell,1994-1998,Campbell,Martin,D
427,JCi,Campion,1984-1993,Campion,Jane,D
428,MCm,Camus,1958,Camus,Marcel,D
429,DCn,Cannon,1995-1998,Cannon,Danny,D
430,FC,Capra,1926,Capra,Frank Chico,D
431,ACp,Capuano,1991,Capuano,Antonio,D
432,LCa,Carax,1985,Carax,Léos,D
433,ECa,Carewe,1915-1934,Fox,"Jay (Edwin, Arthur Edmund)",D
434,JCa,Cardiff,1958-1976,Cardiff,Jack,CDP
435,RCj,Cardona,1977-1980,Cardona,René jr.,D
436,ICd,Cardos,1979,Cardos,John,D
437,AnC,Cardoza,1979,Cardoza,Anthony,D
438,HCn,Carlsen,1992,Carlsen,Henning,D
439,CCa,Carlei,1993-1995,Carlei,Carlo,WD
440,LIC,Carlino,1976-1983,Carlino,Lewis John,D
441,MC,Carne,1936-1971,Carné,Marcel,DW
442,GGC,Caron,1994,Caron,Glenn Gordon,DW
443,IBC,Caros,1992,Caros,John `Bud',D
444,HCa,Carow,1989,Carow,Heiner,D
445,ICa,Carpenter,1974-1998,Carpenter,John,DP
446,HoC,Carr,1953,Carr,Howard,D
447,LuC,Carra,1992,Carra,Lucille,PD
448,MlC,Carreras,1966,Carreras,Michael,D
450,IPC,Carstairs,1939-1961,Keys,John Paddy,D
451,CrC,Carter,1998,Carter,Chris,D
452,PeC,P.Carter,1984,Carter,Peter,D
453,ThC,T.Carter,1970-1993,Carter,Thomas,D
454,HPC,H.Carver,1930,Carver,H.P.,D
455,StC,S.Carver,1974,Carver,Steve,D
456,ICs,JCassavetes,1961-1983,Cassavetes,John,ADWP
457,NCs,NCassavetes,1997,Cassavetes,Nick,D
458,EGC,Castellani,1970-1994,Castellani,Enzo Girolami,WD
459,MCs,Caserini,1913,Caserini,Mario,D
460,HyC,Cass,1950,Cass,Henry,D
461,AxC,Cassini,1991,Cassini,Alexander,D
462,ReC,Castellani,1941-1972,Castellani,Renato,WD
463,xCa,Castellvi,1940,Castellvi,gn,D
464,NiC,N.Castle,1984-1993,Castle,Nick,D
465,WiC,W.Castle,1943-1968,Castle,William,ADP
466,GiC,Cates,1968-1980,Cates,Gilbert,D
467,MCJ,CatonJones,1989-1995,Caton-Jones,Michael,D
468,PCa,Cattaneo,1997,Cattaneo,Peter,D
469,MCa,Caulfield,1982,Caulfield,Michael,D
470,ACa,Cavalcanti,1926-1962,Cavalcanti,Alberto,D
471,ACv,Cavalier,1986,Cavalier,Alain,WD
472,ACy,Cayatte,1949-1970,Cayatte,Andre,D
473,NAC,Cerf,1956,Cerf,Norman A.,D
474,ClC,Chabrol,1958-1983,Chabrol,Claude,WD
475,GuC,Chadha,1994,Chadha,Gurinder,DSWSS
476,DCh,Chaffey,1963,Chaffey,Don,D
477,YCh,Chahine,1958-1973,Chahine,Youssef,D
478,GCh,Champion,1983,Champion,Gregg,D
479,JCh,J.Chan,1982-1986,Chan,Jackie,AD
480,PtC,P.Chan,1997,Chan,Peter Ho-Sun,D
481,TCn,T.Chan,1993,Chan,Tony,AD
482,CC,Chaplin,1914-1966,Chaplin,Sir Charles,ADP
483,MCp,Ma.Chapman,1979,Chapman,Michael,D
484,MCh,Mi.Chapman,1983-1984,Chapman,Michael,D
485,JCe,Chappelle,1994,Chappelle,Joe,WD
487,RiC,Chase,1983,Chase,Richard,D
488,DbC,Chasnoff,1990,Chasnoff,Debra,D
489,EtC,Chatiliez,1987-1990,Chatiliez,Etienne,D
490,EmC,Chautard,1919,Chautard,Emile,D
491,JeC,Chechik,1992,Chechik,Jeremiah,D
492,PCh,Chelsom,1992-1998,Chelsom,Peter,D
493,ACh,A.Chen,1998,Chen,Andrew,D
494,JnC,J.Chen,1999,Chen,Joan,AD
495,KGC,K.Chen,1985,Chen,KaiGe,D
496,xCh,x.Chen,1999,Chen,xgn,D
497,PaC,Chereau,1975-1994,Chereau,Patrice,D
499,CST,Ching,1985-1990,Ching,SuiTung,D
500,LCl,Cholodenko,1998,Cholodenko,Lisa,D
501,MvC,Chomsky,1971-1984,Chomsky,Marvin,D
502,RCh,Christian,1997,Christian,Roger,D
503,TCh,Chong,1978-1982,Chong,Thomas,DA
504,ChJ,ChristianJaque,1938-1980,Maudet,Christian,DW
505,VCy,Chytilova,1992,Chytilova,Vera,D
506,MCb,Cimber,1981,Cimber,Matt,D
507,MCi,Cimino,1973-1980,Cimino,Michael,WD
508,SoC,Cisse,,Cisse,Souleymane,D
509,RC,Clair,1923-1965,Chomette,René,D
510,ACl,A.Clark,1987,Clark,Alan,D
511,BCl,B.Clark,1972-1983,Clark,Bob,DP
512,BDC,B.D.Clark,1981,Clark,B.D.,D
513,GCl,G.Clark,1980,Clark,Greydon,D
514,JiC,J.Clark,1968-1974,Clark,Jim,ED
515,JBC,J.B.Clark,1957-1971,Clark,James B.,ED
516,SCl,Clarke,1961-1964,Clarke,Shirley,D
517,RCv,Clavel,1951,Clavel,Robert,D
518,JCv,Clavell,1958-1971,Clavell,James,WDP
519,JCn,Clayton,1955-1983,Clayton,Jack,CDP
520,TCl,Clegg,1980,Clegg,Tom,D
521,WCl,Clemens,1936-1947,Clemens,William,D
522,RCl,Clement,1943-1975,Clément,René,D
523,GrC,Clifford,1982-1990,Clifford,Graeme,D
524,ECl,Clifton,1944,Clifton,Elmer,D
525,ECn,Cline,1940,Cline,Edward,D
526,RbC,Clouse,1973-1977,Clouse,Robert,WD
527,HGC,Clouzot,1942-1970,Clouzot,Henri-Georges,WD
528,SIC,Clowes,1948,Clowes,St.John L.,D
529,HaC,Clurman,1946,Clurman,Harold,D
530,LCo,Coates,1983,Cozzi,Luigi (Lewis),D
531,SyC,Cochran,1992,Cochran,Stacy,D
532,FCk,Cockrell,1956,Cockrell,Francis,WD
533,Mck,M.Cockrell,1956,Cockrell,Marian,W
534,JC,Cocteau,1930-1959,Cocteau,Jean,WD
535,FrC,F.Coe,1965-1969,Coe,Fred,PD
536,WaC,W.Coe,1990,Coe,Wayne,D
538,JlC,J.Coen,1984-1990,Coen,Joel,D
539,ECh,E.Cohen,1991,Cohen,Eli,D
540,LCh,L.Cohen,1982,Cohen,Larry,WPD
541,NCh,N.Cohen,1977,Cohen,Norman,D
