,ACTOR_ID,STAGE_NAME,YEARS_ACTIVE,LAST_GIVEN,FIRST_GIVEN,SEX,BIRTH,DEATH,ROLE_TYPES,NATIONALITY
67,68,Robert Alda,1945-1976,d'Abruzzo,Alphonso,M,1914,1986,RU:,Un
68,69,Rutanya Alda,1978-1982,,,F,,199x,R:},Un
69,70,John Alderton,1964-1976,Alderton,John,M,1940,199x,R:light lead,Br
70,71,Vera Alentova,1980,,,F,,199x,RU:,Un
71,72,Ben Alexander,1917-1957,Alexander,Nicholas Benton,M,1911,1969,R:boy actor,Am
72,73,Jane Alexander,1970-1983,Quigley,Jane,F,1939,199x,R:regal,Am
73,74,John Alexander,1936-1960,Alexander,John,M,1901,1982,R:portly,Am
74,75,Katherine Alexander,1934-1949,Alexander,Katherine,F,1901,1981,R:sympathetic,Am
75,76,Ross Alexander,1932-1937,Alexander,Ross,M,1907,1937,R:lead,Am
76,77,Sandy Alexander,1983,,,,,199x,RU:,Un
77,78,Terence Alexander,1951-1979,Alexander,Terence,M,1923,199x,R:ineffectual,Br
78,79,Hope AlexanderWells,,,,F,,199x,RU:,Un
79,80,Muhammed Ali,1977,Clay,Cassius,M,1942,199x,RU:,Black-Am
80,81,Dorothy Alison,1952-1972,Alison,Dorothy,F,1925,199x,RU:,Au
81,82,Andrea Allan,,,,F,,199x,RU:,Un
82,83,Elizabeth Allan,1931-1958,Allan,Elizabeth,F,1908,199x,R:delicate or aristocratic heroines,Br
83,84,William Alland,1941-1961,Alland,William,M,1916,199x,R:enquiring reporter,Am
84,85,Chesney Allen,1935-1944,Allen,Chesney,M,1894,1982,R:light comedian,Br
85,86,Catherine Allegret,1965,,,F,,199x,RU:,Fr
86,87,Elizabeth Allen,1960-1972,Gillease,Elizabeth,F,1934,199x,R:lead,Am
87,88,Fred Allen,1935-1953,Sullivan,John F.,M,1894,1956,R:lead,Am
88,89,Gracie Allen,1933-1944,Allen,Gracie,F,1902,1964,R:scatterbrained comedienne,Am
89,90,Karen Allen,1978-1982,Allen,Karen,F,1955,199x,R:lead,Am
90,91,Nancy Allen,1973-1983,Allen,Nancy,F,1954,199x,R:lead,Am
91,92,Patrick Allen,1955-1982,Allen,Patrick,M,1927,199x,R:lead,Br
92,93,Rae Allen,,,,,,199x,RU:,Un
93,94,Steve Allen,1949-1989,Allen,Steve,M,1921,199x,R:dry comic,Am
94,95,Woody Allen,1965-1983,Konigsberg,Allen Stewart,M,1935,199x,R:confused innocent,Am
95,96,Joseph Allen jr.,,,,M,,199x,RU:,Un
96,97,Kirstie Alley,1982-1990,Alley,Kirstie,F,,199x,R:spunky,Am
97,98,Sara Allgood,1918-1950,Allgood,Sara,F,1883,1950,R:amiable,Ir
98,99,Claud Allister,1929-1953,Palmer,Claud,M,1891,1970,R:silly monocled,Br
99,100,Astrid Allwyn,1932-1943,Allwyn,Astrid,F,1909,1978,R:lead,Sw
100,101,June Allyson,1943-1978,Geisman,Ella,F,1917,199x,R:tomboy tease,Am
101,102,Pedro Almodovar,,Almodovar,Pedro,M,,199x,R:wild,Sp
102,103,Maria Conchita Alonso,,,,F,,199x,RU:,Un
103,104,Corinne Alphen,1983,,,F,,199x,R:beauty,Un
104,105,Kirk Alyn,1942-1950,Alyn,Kirk,M,1910,199x,R:lead,Am
105,106,Betty Amann,,,,F,,199x,RU:,Un
106,107,Leonora Amar,,,,F,,199x,RU:,Un
107,108,Don Ameche,1936-1983,Amici,Dominic Felix,M,1908,1993,R:pleasant hero,Am
108,109,Lucio Amelio,,,,M,,199x,RU:,Un
109,110,Leon Ames,1932-1972,Wycoff,Leon,1903,1993,199x,R:harassed or kindly father; suave professional man,Am
110,111,Ramsay Ames,1944-1963,Philips,Ramsay,F,1919,199x,R:lead,Am
111,112,Suzy Amis,1993,Amis,Suzy,F,1962,199x,R:handsome,Am
112,113,John Amos,,,,M,,199x,RU:,Un
113,114,John Amplas,,,,M,,199x,RU:,Un
114,115,Dev Anand,1958-1980,bn,fn,M,,199x,R:hero,In dian
115,116,Glenn Anders,1930-1951,Anders,Glenn,M,1889,1981,R:sinister,Am
116,117,Luana Anders,1958-1982,Anders,Luana,F,1949,199x,R:lead,Am
117,118,Merry Anders,1952-1958,Anders,Merry,F,1932,199x,R:light lead,Am
118,119,Bridgette Andersen,,,,F,,199x,RU:,Un
119,120,Bibi Anderson,,,,M,,199x,R:transvestite,
120,121,E. Erich Anderson,,,,M,,199x,RU:,Un
121,122,Rochester,1930-1965,Anderson,Eddie,M,1905,1977,R:black comedian,Am
122,123,G.M. Anderson,1903-1965,Aronson,Max,M,1882,1971,R:cowboy,Am
123,124,Harriet Anderson,1955,Anderson,Harriet,F,,199x,R:nude villain,Sw
124,125,Herbert Anderson,194-1969,Anderson,Herbert,M,1917,199x,R:mild-mannered,Am
125,126,Ingrid Anderson,,,,F,,199x,RU:,Un
126,127,Jean Anderson,1947-1979,Anderson,Jean,F,1908,199x,R:sympathetic nurse; tired mother; spinster aunt,Br
127,128,John Anderson,1958-1978,Anderson,John,M,1922,199x,R:Tall; thin; pale-eyed,Am
128,129,Judith Anderson,1933-1984,Anderson,Dame Frances Margaret,F,1898,1992,R:icy presence,Au
129,130,Lindsay Anderson,1981,Anderson,Lindsay,M,1923,199x,RU:,Br
130,131,Loni Anderson,1977,Anderson,Loni,F,1947,199x,R:sexy blonde,Am
131,132,Mary Anderson,1939-1953,Anderson,Mary,F,1920,199x,R:supporting,Am
132,133,Melissa Sue Anderson,,,,F,,199x,RU:,Un
133,134,Michael Anderson jr.,1957-1971,Anderson,Michael,M,1943,199x,R:juvenile lead,
134,135,Richard Anderson,1951-1978,Anderson,Richard,M,1926,199x,R:thoughtful-looking,Am
135,136,Rona Anderson,1948-1969,Anderson,Rona,F,1926,199x,RU:,Br; Scots
136,137,Warner Anderson,1943-1968,Anderson,Warner,M,1911,1976,R:solid presence; no outstanding personality,Am
137,138,Bibi Andersson,1955-1983,Andersson,Bibi,F,1935,199x,RU:,Sw
138,139,Harriet Andersson,1952-1972,Andersson,Harriet,F,1932,199x,RU:,Am
139,140,Carole Andre,,,,F,,199x,RU:,Un
140,141,Gabe Andre,,,,,,199x,RU:,Un
141,142,Frédŕic Andrei,,,,M,,199x,RU:,Un
142,143,Ursula Andress,1954-1981,Ursula,Andress,F,1936,199x,R:sex bomb,Zw
143,144,Anthony Andrews,1974-1981,Andrews,Anthony,M,1948,199x,R:lead,Br
144,145,Brian Andrews,,,,M,,199x,RU:,Un
145,146,Dana Andrews,1940-1979,Andrews,Carver Daniel,M,1909,1992,R:hard,Am
146,147,Eamonn Andrews,,Andrews,Éamonn,M,,1987,RU:,Ct
147,148,Edward Andrews,1955-1979,Andrews,Edward,M,1914,199x,R:beaming; bespectacled,Am
148,149,Harry Andrews,1952-1980,Andrews,Harry,M,1911,1989,R:tough,Br
149,150,Julie Andrews,1964-1983,Wells,Julia,F,1934,199x,R:wholesome singer,Br
150,151,The Andrews Sisters,1940-1948,Patty; Maxine; Laverne,Andrews,G,1913,199x,RU:,Am
151,152,Stanley Andrews,1934-1958,Andrews,Stanley,M,1892,1969,R:grizzled western veteran,Am
152,153,Heather Angel,1930-1962,Angel,Heather,F,1909,199x,R:lead,Br
153,154,Pier Angeli,1950-1972,Pierangeli,Anna Maria,F,1932,1971,R:sensitive,It
154,155,The Hells Angels,,,,G,,199x,RU:,Un
155,156,Maya Angelou,1993,Angelou,Maya,F,1929,199x,R:poet,Am
156,157,Muriel Angelus,1930-1940,Findlay,M.A.,F,1909,199x,R:lead,Br
157,158,Ivy Angustain,,,,F,,199x,RU:,Un
158,159,Evelyn Ankers,1933-1960,Ankers,Evelyn,F,1918,199x,R:looked decorative; well-bred heroine,Br
159,160,Morris Ankrum,1940-1961,Morris,Stephen,M,1896,1964,R:lawyer; judge; Western villain,Am
160,161,Francesca Annis,1958-1983,Annis,Francesca,F,1944,199x,R:lead,Br
161,162,AnnMargret,1961-1983,Olsson,Ann-Margret,F,1941,199x,R:sex symbol,Sw-Am
162,163,Michael Ansara,1944-1974,Ansara,Michael,M,1922,199x,R:Indian,Am
163,164,Karen Anspach,,,,F,,199x,RU:,Un
164,165,Susan Anspach,1970-1983,Anspach,Susan,F,1939,199x,R:stage,Am
165,166,Adam Ant,,,,M,,199x,RU:,Un
166,167,Lysette Anthony,,,,F,,199x,RU:,Un
167,168,Michael Anthony,,,,M,,199x,RU:,Un
168,169,Susan Anton,,,,F,,199x,RU:,Un
169,170,Laura Antonelli,,,,F,,199x,RU:,Un
170,171,Lou Antonio,,,,M,,199x,RU:,Un
171,172,Scott Antony,1972-1974,Antony,Scott,M,1950,199x,R:lead juvenile,Br
172,173,Aquanetta,1942-1946,Davenbort,Burnu,F,1920,199x,R:exotic,Am
173,174,Alfonso Arau,,,,M,,199x,RU:,Un
174,175,Roscoe Abuckle,1913-1921,Arbuckle,Roscoe (Fatty),M,1887,1933,R:comic,Am
175,176,Allan Arbus,,,,M,,199x,RU:,Un
176,177,Anne Archer,1970-1982,Archer,Anne,F,,199x,R:lead,Am
177,178,Fanny Ardant,1981-1984,Ardant,Fanny,F,1949,199x,R:lead,Fr
178,179,Eve Arden,1929-1982,Quedens,Eunice,F,1912,1990,R:best; cool friend,Am
179,180,Carmen Argenziano,,,,F,,199x,RU:,Un
180,181,Adam Arkin,,,,M,,199x,RU:,Un
181,182,Alan Arkin,1966-1983,Arkin,Alan,M,1934,199x,R:lead,Am
182,183,David Arkin,,,,M,,199x,RU:,Un
183,184,Richard Arlen,1925-1976,van Mattemore,Cornelius,M,1898,1976,R:rugged hero,Am
184,185,Arletty,1931-1972,Bathiat,Leonie,F,1898,1992,R:world-weary,Fr
185,186,George Arliss,1921-1937,Andrews,George Augustus,M,1868,1946,R:autocratic,Br
186,187,Pedro Armendariz,1936-1963,Armendariz,Pedro,M,1912,1963,R:expansive,Me
187,188,Henry Armetta,1918-1946,Armetta,Henry,M,1888,1945,R:excitable; gesticulating foreigner,It
188,189,Bess Armstrong,1982-1983,Armstrong,Bess,F,,199x,R:lead,Am
189,190,Curtis Armstrong,,,,M,,199x,RU:,Un
190,191,Louis Armstrong,1936-1969,Armstrong,Louis `Satchmo',M,1900,1971,R:black jazz musician,Am
191,192,R.G. Armstrong,1958-1982,Armstrong,R.G.,M,1920,199x,R:tough serious,Am
192,193,Robert Armstrong,1927-1963,Smith,Donald Robert,M,1890,1973,R:tough cop; scientist,Am
193,194,Todd Armstrong,1962-1968,Armstrong,Todd,M,1939,199x,R:stalwart lead,Am
194,195,Yvonne Arnaud,1920-1958,Arnaud,Yvonne,F,1892,1958,RU:,Fr
195,196,Lucie Arnaz,1975-1983,Arnaz,Lucie,F,1951,199x,R:lead,
196,197,Desi Arnaz,1950-1982,Arnaz y de Acha,Desiderio,M,1915,1986,R:diminutive explosive romantic,Cu
197,198,Desi Arnaz jr.,1970-1983,Arnaz,Desi,M,1953,199x,R:juvenile lead,Am
198,199,Peter Arne,1955-1982,Albrecht,Peter Arne,M,1920,1983,R:villain,Br
199,200,James Arness,1947-1981,Aurness,James,M,1923,199x,R:giant,Am
200,201,Jeanetta Arnette,,,,F,,199x,RU:,Un
201,202,Edward Arnold,1916-1956,Schneider,Guenther,M,1890,1956,R:dynamic rotund,Am
202,203,Mark Arnott,,,,M,,199x,RU:,Un
203,204,Charles Arnt,1934-1962,Arnt,Charles,M,1908,199x,R:snoop; suspicious; or plain ordinary fellow,Am
204,205,Rosanna Arquette,,,,F,,199x,RU:,Un
205,206,Antonin Artaud,1926-1928,Artaud,Antonin,M,1895,1948,R:dabbling writer,Fr
206,207,Beatrice Arthur,1972-1983,Frankel,Bernice,F,1923,199x,R:dominant comedy,Am
207,208,George K. Arthur,1921-1935,Brest,G.K.A.,M,1899,199x,R:small but gamy,Br
208,209,Jean Arthur,1923-1966,Greene,Gladys,F,1905,1991,R:squeaky petite feminist,Am
209,210,Linda Arvidson,1908-1916,Arvidson-Griffith,Linda,F,1884,1949,R:lead,Am
210,211,Leslie Ash,,,,,,199x,RU:,Un
211,212,Peggy Ashcroft,1933-1978,Ashcroft,Dame Peggy,F,1907,1991,R:royal,Br
212,213,Jane Asher,1951-1972,Asher,Jane,F,1946,199x,R:lead,Br
213,214,Renèe Asherson,1944-1968,Asherson,Ren,F,1920,199x,RU:,Br
214,215,Edward Ashley,1933-1976,Cooper,E.A.,M,1904,199x,R:third lead,Br
215,216,Elizabeth Ashley,1964-1982,Cole,Elizabeth,F,1939,199x,R:cold sporadic,Am
216,217,Jennifer Ashley,,,,F,,199x,RU:,Un
217,218,John Ashley,,,,M,,199x,RU:,Un
218,219,Gregoire Asian,,,,,,199x,RU:,Un
219,220,Luke Askew,1967-1979,Askew,Luke,M,,199x,R:western,Am
220,221,Arthur Askey,1937-1972,Askey,Arthur,M,1900,1982,R:diminutive,Br
221,222,Ed Asner,1963-1983,Asner,Edward,M,1929,199x,R:chubby tough,Am
222,223,Chuck Aspegren,,,,M,,199x,RU:,Un
223,224,Armand Assante,,,,M,,199x,RU:,Un
224,225,Asta,1934-1947,,,A,,199x,R:wire-haired fox terrier,Un
225,226,Adele Astaire,,,,M,,1981,RU:,Ct
226,227,Fred Astaire,1933-1981,Austerlitz,Frederick,M,1899,1987,R:dancer,Am
227,228,Nils Asther,1927-1963,Asther,Nils,M,1897,1981,R:suave; exotic,Sw
228,229,John Astin,1961-1977,Astin,John,M,1930,199x,R:comic,Am
229,230,Patty Duke Astin,1955-1982,Duke Astin,Patty,F,1946,199x,RU:,Am
230,231,Gertrude Astor,1927-1962,Astor,Gertrude,F,1887,1977,R:silent screen,Am
231,232,Mary Astor,1921-1964,Langehanke,Lucille,F,1906,1987,R:solid; character,Am
232,233,William Atherton,1972-1983,Atherton,William,M,1947,199x,RU:,Am
233,234,Christopher Atkins,1980-1983,Atkins,Christopher,M,1961,199x,R:juvenile lead,Am
234,235,Eileen Atkins,1968-1983,Atkins,Eileen,F,1934,199x,R:character,Br
235,236,Kiyoshi Atsumi,1969-1996,Tadoroko,Yasuo,M,1928,1996,,Jp
236,237,Richard Attenborough,1942-1979,Attenborough,Sir Richard,M,1923,199x,R:coward; `wide range',Br
237,238,Malcolm Atterbury,1954-1964,Atterbury,Malcolm,M,1907,199x,R:character,Am
238,239,Edith Atwater,1936-1976,Atwater,Edith,F,1911,199x,R:lead,Am
239,240,Lionel Atwill,1919-1946,Atwill,Lionel,M,1885,1946,R:teutonic villains,Br
240,241,Kim Atwood,,,,,,199x,RU:,Un
241,242,Brigitte Auber,1955,,,F,,199x,RU:,Un
242,243,Rene Auberjonois,1970-1980,Auberjonois,René,M,1940,199x,R:character,Am
243,244,Lenore Aubert,1938-1949,Aubert,Leonore,F,1913,199x,R:sinister,Yu
244,245,Cecile Aubry,1949-1954,Benard,Anne-Jesè,F,1929,199x,R:petit,Fr
245,246,Joss Auckland,,,,M,,199x,RU:,Un
246,247,Michael Auclair,1946-1973,Vujovic,Vladimir,M,1922,199x,R:lead,Fr
247,248,Maxine Audley,1954-1969,Audley,Maxine,F,1923,199x,R:character,Br
248,249,Stephane Audran,1958-1982,Audran,Stéphane,F,1932,199x,R:cool,Fr
249,250,Audrey,,,,,,199x,RU:,Un
250,251,Mischa Auer,1928-1966,Ounskowsky,Mischa,M,1905,1967,R:wild; noble idiot,Ru
251,252,Claudine Auger,1963-1980,Auger,Claudine,F,1942,199x,R:lead,Fr
252,253,Marie Ault,1924-1949,Cragg,Mary,F,1870,1951,R:dialect comedy,Br
253,254,JeanPierre Aumont,1931-1983,Salomons,Jean-Pierre,M,1909,199x,R:lead,Fr
254,255,John Austin,,,,M,,199x,RU:,Un
255,256,Daniel Auteuil,1985,Auteuil,Daniel,M,,199x,RU:,Fr
256,257,Gene Autry,1937-1950,Autry,Gene,M,1907,1998,R:easy-going cowboy,Am
257,258,Frankie Avalon,1960-1978,Avallone,Francis,M,1939,199x,R:light lead,Am
258,259,Luis Avalos,,,,M,,199x,RU:,Un
259,260,Doe Avedon,1954-1956,Avedon,Doe,F,1928,199x,R:lead,Am
260,261,Brian Avery,,,,M,,199x,RU:,Un
261,262,Margaret Avery,,,,F,,199x,RU:,Un
262,263,Nina Axelrod,,,,F,,199x,RU:,Un
263,264,Hoyt Axton,,,,M,,199x,RU:,Un
264,265,George Ayer,,,,M,,199x,RU:,Un
265,266,Dan Aykroyd,1980-1988,Aykroyd,Dan,M,,199x,R:comic lead,Am
266,267,Felix Aylmer,1933-1968,Aylmer Jones,Felix Edward,M,1889,1979,R:schoolmasters; bishops,Br
267,268,Agnes Ayres,1919-1937,Hinkle,Agnes,F,1896,1940,R:silent lead,Am
268,269,Gregg Ayres,,,,M,,199x,RU:,Un
269,270,Lew Ayres,1929-1972,Ayer,Lewis,M,1908,1997,R:boyish lead,Am
270,271,Robert Ayres,1949-1968,Ayres,Robert,M,1914,1968,R:strong; silent,Ca
271,272,Randle Ayrton,1918-1978,Ayrton,Randle,M,1869,1940,R:character,Br
272,273,Shabana Azmi,,,,F,,199x,RU:,Un
273,274,Charles Aznavour,1958-1976,Aznavurjan,Shahnour,M,1924,1992,R:small rugged lead,Tu
274,275,Candy Azzara,,,,F,,199x,RU:,Un
275,276,Hank Azaria,,,,M,1964,199x,R:comic,Un
276,277,Lauren Bacall,1944-1981,Perske,Betty Jean,F,1924,199x,R:sultry to resourceful,Am
277,278,Barbara Bach,1977-1981,Bach,Barbara,F,1951,199x,R:lead,Ge
278,279,Pamela Bach,,Bach,Pamela,F,1962,199x,RU:,Am
279,280,Amitabh Bachchan,1970-1980,bn,fn,M,1942,199x,R:romantic hero Am,
280,281,Jim Backus,1958-1980,Backus,Jim,M,1913,1989,R:burly comedian,Am
281,282,Kevin Bacon,1984-1990,,,M,,199x,RU:,Un
282,283,Hermione Baddeley,1940-1964,Baddely,Hermione,F,,1986,R:sr,Ct
283,284,Alan Badel,1953-1980,Badel,Alan,M,1923,1982,R:sensitive,Br
284,285,Buddy Baer,1949-1961,Baer,Jacob Henry,M,1915,199x,RU:,Am
285,286,Harry Baer,1979-1980,,,M,,199x,RU:,Un
286,287,Max Baer,1933-1958,Baer,Max,M,1909,1959,R:boxer,Am
287,288,Pearl Bailey,1047-1976,Bailey,Pearl,F,1918,1990,R:black singer,Am
288,289,Barbara Bain,1971-1973,Bain,Barbara,F,1932,199x,R:lead,Am
289,290,Fay Bainter,1934-1962,Bainter,Fay,F,1892,1968,R:stalwart matron,Am
290,291,Scott Baio,1978-1982,Baio,Scott,M,1961,199x,R:teenager,Am
291,292,Blanche Baker,1984-1990,,,F,,199x,RU:,Un
292,293,Carrol Baker,1953-1983,Baker,Carrol,F,1931,199x,R:sex symbol,Am
293,294,Diane Baker,1959-1971,Baker,Diane,F,1936,199x,R:demure,Am
294,295,Hylda Baker,1960-1973,Baker,Hylda,F,1909,199x,R:comedienne,Br
295,296,Joe Don Baker,1967-1979,Baker,Joe Don,M,1943,199x,R:tough,Am
296,297,Josephine Baker,1927,Baker,Josephine,F,1906,1975,R:sexy dancer,Am
297,298,Kathy Baker,1987-1990,,,F,,199x,R:good girl,Am
298,299,Kenny Baker,1936-1946,Baker,Kenny,M,1912,199x,R:crooner,Am
299,300,Ruby Baker,1982,,,F,,199x,RU:,Un
300,301,Stanley Baker,1941-1975,Baker,Sir Stanley,M,1927,1976,R:virile,Br; Welsh
301,302,Tom Baker,1971-1975,Baker,Tom,M,1935,199x,R:larger than life,Br
302,303,Bob Balaban,1978-1966,Balaban,Bob,M,1965,199x,R:character,Am
303,304,Jill Balcon,1947,Balcon,Jill,F,1925,199x,RU:,Br
304,305,Rebecca Balding,,,,F,,199x,RU:,Un
305,306,Adam Baldwin,1980-1989,,,M,,199x,RU:,Un
306,307,Alec Baldwin,1988-1990,Baldwin,Alec,M,195x,199x,R:peevish,
307,308,Daniel Baldwin,,Baldwin,Daniel,M,,199x,RU:,Am
308,309,Stephen Baldwin,,Baldwin,Stephen,M,1963,199x,RU:,Am
309,310,William Baldwin,1989-1990,Baldwin,William (Billy),M,1963,199x,RU:,Am
310,311,Betty Balfour,1928-1945,Balfour,Betty,F,1903,199x,R:comedienne,Br
311,312,Mireille Balin,1933-1937,Balin,Mireille,F,1909,1968,R:lead,Fr
312,313,Florinda Balkan,1970-1975,,,F,,199x,R:mistress,
313,314,Lucille Ball,1933-1973,Ball,Lucille,F,1910,1989,R:comedienne,Am
314,315,Vincent Ball,1956-1960,Ball,Vincent,M,*,199x,RU:,Au
315,316,Kay Ballard,1956-1980,Balotta,Catherine (Kaye),F,1926,199x,R:comedienne,Am
316,317,Martin Balsam,1954-1982,Balsam,Martin,M,1919,199x,R:quiet; comfortable,Am
317,318,Anne Bancroft,-1952,Italiano,Anna Maria,F,1931,199x,R:warm; competent,Un
318,319,George Bancroft,1921-1942,Bancroft,George,M,1882,1956,R:burly,Am
319,320,Antonio Banderas,,,,M,,199x,RU:,Un
320,321,Victor Banerjee,,,,M,,199x,RU:,Un
321,322,Donatas Banionis,,,,M,,199x,RU:,Un
322,323,Alex Bank,,,,M,,199x,RU:,Un
323,324,Tallulah Bankhead,1918-1965,Bankhead,Tallulah,F,1902,1968,R:theatrical,Am
324,325,Aaron Banks,,,,M,,199x,RU:,Un
325,326,Leslie Banks,1932-1950,Banks,Leslie,M,1890,1952,R:tough sophisticate,Br
326,327,Vilma Banky,1920-1933,Lonchit,Vilma,F,1902,199x,R:silent,Os-Hu
327,328,Ian Bannen,1955-1983,Bannen,Ian,M,1928,199x,R:effective,Br
328,329,John Banner,1943-1971,Banner,John,M,1910,1973,R:German sergeant,Po-Am
329,330,Theda Bara,1915-1926,Goodman,Theodosia,F,1890,1955,R:vamp,Am
330,331,Olga Baraclanova,,,,F,,199x,RU:,Un
331,332,Christine Baranski,,,,F,,199x,RU:,Un
332,333,Vanna Barba,1992,Barba,Vanna,F,1967,199x,R:sexy,Gr
