,ID,TITLE,RELEASE_YEAR,PRODUCER_NAME,STUDIO,GENRE
37,H42,Spellbound,1945,P:Selznick,St:Selznick; SD:U.A.,Susp
38,H43,Notorious,1946,P:Hitchcock,St:RKO,Susp
39,H44,The Paradine Case,1947,P:Selznick,St:Selznick; SD:U.A.,Susp
40,H45,Rope,1948,P:Bernstein; Hitchcock,St:Transatlantic; SD:Warners,Susp
41,H46,Under Capricorn,1949,P:Bernstein; Hitchcock,St:Transatlantic; MGM British; SD:Warners,Dram
42,H47,Stage Fright,1950,P:Hitchcock; Ahern,St:Elstree; SD:Warners; SL:(Ge; GB),Susp
43,H48,Strangers on a Train,1951,P:Hitchcock,St:Warners,Susp
44,H49,I Confess,1952,P:Hitchcock,St:Warners,Susp
45,H50,Dial M for Murder,1954,P:Hitchcock,St:Warners,Susp
46,H51,Rear Window,1954,P:Hitchcock,St:Paramount,Susp
47,H52,To Catch a Thief,1955,P:Hitchcock,St:Paramount,Susp
48,H53,The Trouble with Harry,1956,P:Hitchcock,St:Paramount,Susp
49,H57,The Man Who Knew Too Much,1956,P:Hitchcock,St:Paramount,Susp
50,H61,The Wrong Man,1957,P:Hitchcock,St:Warners,Susp;Docu
51,H65,Vertigo,1958,P:Hitchcock; Robert Coleman,St:Paramount,Susp
52,H69,North by Northwest,1959,P:Hitchcock,St:MGM,Susp
53,H73,Psycho,1960,P:Hitchcock,St:Shamley; Universal; SD:Paramount,Susp
54,H79,The Birds,1963,P:Hitchcock,St:Universal,Susp
55,H80,Marnie,1964,P:Hitchcock,St:Universal,Susp
56,H81,Torn Curtain,1966,P:Hitchcock,St:Universal,Susp
57,H82,Topaz,1969,P:Hitchcock,St:Universal,Susp
58,H83,Frenzy,1972,P:Hitchcock,St:Pinewood,Susp
59,H84,Family Plot,1976,P:Hitchcock,St:Universal,Susp
60,H40,Aventure Malgache,1944,PN:Ministry of Inf.,St:Elstree,Advt
61,H41,Bon Voyage,1944,PN:Ministry of Inf.,St:Elstree,Advt
62,H54,Revenge,1955,P:Hitchcock,St:Shamley;CBS,Susp
63,H55,Breakdown,1955,P:Hitchcock,St:Shamley;CBS,Susp
64,H56,The Case of Mr. Pelham,1955,P:Hitchcock,St:Shamley;CBS,Susp
65,H58,Back For Christmas,1956,P:Hitchcock,St:Shamley; CBS,Susp
66,H59,Wet Saturday,1956,P:Hitchcock,St:Shamley;CBS,Susp
67,H60,Mr. Blanchhard's Secret,1956,P:Hitchcock,St:Shamley;CBS,Susp
68,H62,One More Mile To Go,1957,P:Hitchcock,St:Shamley;CBS,Susp
69,H63,Four O'Clock,1957,P:Hitchcock,St:Shamley; NBC,Susp
70,H64,The Perfect Crime,1957,P:Hitchcock; J.Harrison,St:Shamley;CBS,Susp
71,H66,Lamb To The Slaughter,1958,P:Hitchcock,St:Shamley;CBS,Susp
72,H67,A Dip In The Pool,1958,P:Hitchcock;J.Harrison,St:Shamley;CBS,Susp
73,H68,Poison,1958,P:Hitchcock;J.Harrison,St:Shamley;CBS,Susp
74,H70,Banquo's Chair,1959,P:Hitchcock; J.Harrison,St:Shamley;CBS,Susp
75,H71,Arthur,1959,P:Hitchcock; J.Harrison,St:Shamley;CBS,Susp
76,H72,The Crystal Trench,1959,P:Hitchcock; J.Harrison,St:Shamley;CBS,Susp
77,H74,Incident At A Corner,1960,P:Hitchcock; J.Harrison,St:Shamley;NBC,Susp
78,H75,Mrs. Bixby And The Colonel's Coat,1960,P:Hitchcock; J.Harrison,St:Shamley; NBC,Susp
79,H76,The Horseplayer,1961,P:Hitchcock;J.Harrison,St:Shamley;CBS,Susp
80,H77,Bang! You're Dead,1961,P:Hitchcock;J.Harrison,St:Shamley;CBS,Susp
81,H78,I Saw The Whole Thing,1962,P:Hitchcock;J.Harrison,St:Shamley;CBS,Susp
82,WKD10,The Edison Kinetopic Record of A Sneeze,1893,Dickson,PN:Thomas A. Edison,bws
83,WKD50,Terrible Teddy; the Grizzly King,1901,PN:Thomas A. Edison,St:Edison,Comd
84,ALu1,La Premiere Seance du Salon Indien au Grand Café,1895,P:A.Lumiere,St:Lumiere,
85,ALu2,La Sortie des Usines Lumière,1895,PN:,St:Lumiere,Docu
86,ALu3,Arrivée d'un train en Gâre de la Ciatat,1895,PN:,St:Lumiere,Docu
87,ALu4,Le Gouter de Bébé,1895,PN:,St:Lumiere,
88,ALu5,L'Arroseur arrossé,1895,PN:,St:Lumiere,Comd
89,ALu6,Barque Quittant le Port,1895,PN:,St:Lumiere,Docu
90,ALu7,Boules,1895,PN:,St:Lumiere,
91,ALu30,L'assissinatat du Duc de Guise,1908,PN:,St:Lumiere,Actn
92,ESP9,Jack and the Beanstalk,1902,P:,St:Edison,Comd
93,ESP10,Uncle Tom's Cabin,1902,P:,St:Edison,Comd
94,ESP11,Life of an American Fireman,1903,P:,St:Edison,West
95,ESP12,The Great Train Robbery,1903,P:,St:Edison,West
96,ESP16,The Little Train Robbery,1905,P:,St:Edison,
97,ESP17,The Kleptomaniac,1905,P:,St:Edison,
98,ESP25,The Count of Monte Christo,1912,P:Zukor,St:Famous,Dram
99,ESP26,The Prisoner of Zenda,1912,P:Zukor,St:Famous,Dram
100,ESP27,His Neighbor's Wife,1912,P:Zukor,St:Famous,Dram
101,ESP28,Tess of the d'Ubervilles,1912,P:Zukor,St:Famous,Dram
102,ESP30,An American Citizen,1913,P:Zukor,St:Famous,
103,ESP31,A Good Little Devil,1913,P:Zukor,St:Famous,
104,ESP32,In The Bishop's Carriage,1913,P:Zukor,St:Famous,
105,ESP33,Caprice,1913,P:Zukor,St:Famous,
106,ESP34,Hearts Adrift,1913,P:Zukor,St:Famous,
107,ESP40,Tess of The Storm Country,1914,P:Zukor,St:Famous,Dram
108,GMs1,L'Escamontage d'une Dame,1896,PN:,SL:Fr,
109,GMs2,L'Homme orchestre,1900,PN:,SL:Fr,
110,GMs4,Cinderella,1900,PN:,SL:Fr,Fant
111,GMs6,Le voyage dans la lune,1902,PN:,SL:Fr,ScFi
112,GMs8,Danseuse Microscopique,1902,PN:,SL:Fr,ScFi
113,GMs12,An Impossible Voyage,1904,PN:,SL:Fr,Ctxx
114,GMs20,L'Homme a la Tete en Caoutchouc,1906,PN:,SL:Fr,Fant
115,AMv10,The Downward Path,1900,PN:,St:Biograph,Dram
116,WRB10,The Magic Sword or A Medieval Mystery,1891,PN:,SU:,Fant
117,CPa1,La Passion,1902,P:Pathe,St:Pathe,
118,CPa50,Les Misérables,1909,PN:,SU:,Dram
119,WHa1,The Maniac's Guillotine,1902,P:Haggar,SU:,Horr
120,WHa8,The Life of Charles Pierce,1905,P:Haggar,SU:,BioP
121,WMc10,Kit Carson,1903,PN:,St:Biograph,Advt
122,ThE10,Parsifal,1904,PN:Edison,St:Edison,Musc; BioP
123,JaC1,The Wagon Trails,1906,PU:,SU:,Advt
124,JaC7,Too Many Millions,1918,PN:,SU:,CTxx
125,JaC10,The Covered Wagon,1923,PN:,SU:,West
126,JaC12,Hollywood,1918,PN:,SU:,CTxx
127,JaC15,Ruggles of Red Gap,1918,PN:,SU:,West
128,JaC20,Beggars on Horseback,1925,PN:,SU:,West
129,JaC23,Pony Express,1925,PN:,SU:,West
130,JaC25,Old Ironsides,1926,PN:,SU:,Advt
131,JaC33,Washington Merry Go Round,1932,PN:,SU:,CTxx
132,JaC35,I Cover the Waterfront,1933,PN:,SU:,CTxx
133,JaC40,Sutter's Gold,1936,PN:,SU:,CTxx
134,GKS60,The Dead Man's Claim,1912,P:Spoor,St:Essanay,West
135,LMi1,The Last Days of Pompeii,1908,PN:,SL:Italy,Hist
136,LMi5,Nero and the Burning of Rome,1909,PN:Arturo Ambrosio,St:Ambrosio,Hist
137,LMi23,Autumn Sunset Dream,1911,PN:,St:Ambrosio,Dram
138,LMi25,The Ship with the Lions,1912,PN:,St:Ambrosio,Dram
139,LMi35,The Lion of Venice,1914,PN:,St:Ambrosio,Dram
140,DWG02,At the French Ball,1908,PN:,SU:,Ctxx
141,DWG03,Calamitous Elopement,1908,PN:,SU:,Ctxx
142,DWG1,The Adventures of Dolly,1908,PN:,SU:,Ctxx
143,DWG3,For the Love of Gold,1908,PN:,SU:,Ctxx
144,DWG5,The Call of the Wild,1908,PN:,SU:,Ctxx
145,DWG6,Lines of White on a Sullen Sea,1908,PN:,SU:,Ctxx
146,DWG7,The Sealed Room,1909,PN:,SU:,Dram
147,DWG8,A Corner in Wheat,1909,PN:,SU:,Dram
148,DWG9,The Lonely Villa,1909,PN:,SU:,Dram
149,DWG10,The Life of Edgar Allen Poe,1909,PN:,SU:,BioP
150,DWG11,The Curtain Pole,1909,PN:,SU:,Comd
151,DWG15,Song of the Wildwood Flute,1910,PN:,SU:,West
152,DWG16,Love Among the Roses,1910,PN:,SU:,Ctxx
153,DWG25,The Lonedale Operator,1911,PN:,SU:,Ctxx
154,DWG26,Paradise Lost,1911,PN:,SU:,Ctxx
155,DWG27,Enoch Arden,1911,PN:,SU:,Dram
156,DWG29,The Cowboy Doctor,1911,PN:,SU:,Ctxx
157,DWG33,Man's Genesis,1912,PN:,SU:,Ctxx
158,DWG35,The Musketeers of Pig Alley,1912,PN:,SU:,Ctxx
159,DWG40,The Raven,1912,PN:,SU:,BioP
160,DWG47,The New York Hat,1912,PN:,SU:,CTxx
161,DWG49,The Battle at Elderbush Gulch,1913,PN:,St:Biograph,West
162,DWG50,Judith of Bethulia,1913,PN:,St:Biograph,Dram
163,DWG51,The Clansman,1915,PN:,St:D.W.Griffith,Epic
164,DWG52,Intolerance,1916,P:Griffith,SL:USA,Epic; Dram
165,DWG53,Hearts of the World,1918,PN:,SU:,Ctxx
166,DWG55,The Greatest Question,1919,PN:,SU:,Dram
167,DWG57,Broken Blossoms,1919,P:Griffith,St:U.A.,Dram
168,DWG58,True Heart Susie,1919,P:,SU:,Romt
169,DWG64,Way Down East,1920,P:Griffith,St:Griffith,Dram
170,DWG66,One Exciting Night,1922,PN:,SU:,Ctxx
171,DWG67,Orphans of the Storm,1922,PN:,St:U.A.,Epic
172,DWG71,America,1924,P:Griffith,St:U.A.,West;Dram
173,DWG72,Isn't life Wonderful,1924,PN:,St:Griffith,Dram;Docu
174,DWG75,Screen Snapshots,1926,PU:,SU:,Ctxx
175,DWG80,Abraham Lincoln,1930,PN:Joseph Schenck,St:U.A.,BioP
176,Z0210,Romeo and Juliet,1908,PN:,SL:USA,Romt
177,Z0220,Romeo and Juliet,1908,PN:,Lang(It),Romt
178,Z0230,Romeo and Juliet,1908,PN:,SL:GB,Romt
179,Z0240,Romeo and Juliet,1911,PN:,SL:USA,Romt
180,Z0250,Romeo and Juliet,1911,PN:,SL:It,Romt
181,Z0260,Romeo and Juliet,1916,PN:,SU:,Romt
182,Z0270,Romeo and Juliet,1916,PN:,SU:,Romt
183,Z0280,Romeo and Juliet,1996,PU:,SU:,Romt
184,EiC10,Le Binetoscope,1909,PN:,St:Gaumont,Cart
185,GdL10,Marin Valiero; Doge of Venice,1909,PN:,St:SaffiComerio,Hist
186,MCs2,The Pilgrim's Progress,1912,PN:,St:Ambrosio,Dram
187,MCs3,Macbeth,1913,PN:,St:Cines,Dram
188,MCs10,Love Everlasting,1913,PN:,St:Artistica Gloria,Dram
189,WMk10,Gertie the Dino,1909,PN:,SU:,Cart
190,FkP10,All on Account of Milk,1910,PN:,St:Biograph,Romt
191,GlS10,The Merchant of Venice,1910,PN:,St:Film d'Arte Italia,Dram
192,ISB10,Life of Moses,1910,PN:,St:Vitagraph,Biop
193,ThB10,The Old Curiosity Shop,1913,PN:,SU:,Dram
194,ThB30,The Old Curiosity Shop,1921,PN:,SU:,Dram
195,ThB50,Young Woodley,1930,PN:,SU:,Ctxx
196,ThB55,Hobson's Choice,1931,PN:,St:BIP,prc
197,ThB65,Those Were the Days,1934,PN:,SU:,Ctxx
198,ThB70,The Old Curiosity Shop,1935,PN:,SU:,
199,ThB80,Lucky to Me,1939,PN:,SU:,Ctxx
200,UgF10,Salome,1910,PN:,St:Film d'Arte Italiana,Dram
201,UgF12,Francesca di Rimini,1911,PN:,St:Film d'Arte Italiana; Film d'Art Paris,Romt
202,APv10,Dante's Inferno,1911,PN:,St:Milano Films,Ctxx
203,APv11,Homer's Odyssey,1911,PN:,St:Milano Films,Advt
204,AuB10,The Vampire Dancer,1911,PN:,St:Great Northern,Dram
205,LcP15,L'Enfant de Paris,1913,PN:,SU:,Ctxx
206,OrM10,Clios and Phyletes,1911,PN:,St:Itala,Ctxx
207,ThI10,Little Dove's Romance,1911,PN:,St:Bison,West
208,ThI18,Battle of the Red Men,1912,PN:,St:Bison,West
209,ThI20,Custer's Last Fight,1912,PN:,SU:,CTxx
210,ThI33,The Death Mask,1914,P:Th.Ince,St:Kay Bee Columbia,West
211,ThI40,Civilization,1915,PN:none,St:Triangle,Fant
212,ThI60,Human Wreckage,1924,PN:,SU:,CTxx
213,ThI65,Custer's Last Fight,1925,P:Th.ince,St:Quality Amusememt Inc.,West
214,UrG10,The Aviator's Generosity,1911,PN:,St:Great Northern,Dram
215,WmH10,A Tale of Two Cities,1911,PN:,SU:,Dram
216,ADw5,Maiden and Men,1912,PN:,St:AMF,Dram
217,ADw6,Their Hero Son,1912,PN:,St:AMF,Dram
218,ADw17,Robin Hood,1922,P:Fairbanks sr,SU:,Advt
219,ADw22,The Iron Mask,1922,P:Fairbanks sr,St:U.A.,Advt
220,ADw27,Manhandled,1924,PN:William leBaron,St:Paramount,Romt
221,ADw35,Heidi,1937,P:R.Griffith,St:Fox,Romt
222,ADw40,Rebecca of Sunnybrook Farm,1938,P:R.Griffith,St:Fox,Dram
223,ADw41,Suez,1938,P:D.Markey,St:Fox,
224,ADw45,The Three Musketeers,1939,P:R.Griffith,St:Fox,Actn
225,ADw52,Around the World,194x,P:Dwan,St:RKO,Musc
226,ADw60,Sands of Iwo Jima,1949,PN:Edward Grainger,SU:,Actn
227,ADw70,Cattle Queen of Montana,1954,P:Bogeaus,St:RKO,West
228,ADw72,Passion,1954,P:Bogeaus,St:RKO,West
229,ADw75,Tennessee's Partner,1954,P:Bogeaus,St:RKO,West
230,ADw78,Pearl of the South Pacific,1955,P:Bogeaus,St:RKO,Advt
231,ADw80,Slightly Scarlet,1956,P:,St:RKO,Dram
232,AEG25,The Ghost Breaker,1922,PN:,St:Paramount,
233,AEG37,Baby Face,1933,PN:,SU:,Dram
234,AEG39,I Loved a Woman,1933,P:Blanke,St:Warners,
235,AEG41,Dangerous,1935,PN:Harry Joe Brown,St:Warners,Dram
236,AEG50,The Gracie Allen Murder Case,1935,PN:,SU:,Myst
237,AEG60,The Jolson Story,1946,PN:Sidney Skolsky,St:Columbia,BioP;Musc
238,AEG70,The Eddie Cantor Story,1953,PN:Sidney Skolsky,St:Warners,BioP;Musc
239,JCw16,Step On It,1922,PN:,SU:,Ctxx
240,JCw41,Bringing Up Father,1928,PN:,SU:,Comd
241,JCw44,Our Modern Maidens,1929,PN:,SU:,Romt
242,JCw47,The Unholy Three,1930,PN:,SU:,Ctxx
243,JCw50,Just a Gigolo,1931,P:,St:MGM,Comd
244,JCw51,Arsène Lupin,1932,PN:,SU:,Ctxx
245,JCw53,Red-headed Woman,1932,PN:,SU:,Dram
246,JCw57,Viva Villa,1934,PN:,St:MGM,Epic
247,JCw61,A Tale of Two Cities,1935,PN:Selznick,St:MGM,Dram
248,JCw62,Libeled Lady,1936,PN:Lawrence Weingarten,St:MGM,Romt
249,JCw63,Sarasota,1937,PN:,SU:,Ctxx
250,JCw64,A Yank at Oxford,1938,PN:,SU:,Ctxx
251,JCw65,Too Hot To Handle,1938,PN:,SU:,Ctxx
252,JCw67,Lady of the Tropics,1939,PN:,SU:,Ctxx
253,JCw68,Boom Town,1940,PN:,SU:,Ctxx
254,JCw69,Love Crazy,1940,PN:,SU:,Ctxx
255,JCw70,Honky Tonk,1940,PN:,SU:,Ctxx
256,JCw73,Dragon Seed,1944,PN:,SU:,Ctxx
257,JCw75,The Hucksters,1947,PN:,SU:,Ctxx
258,JDu10,Comedy of the absurd,1912,PN:,St:Gaumont,Comd
259,MaT10,Alias Jimmy Valentine,1915,PN:World,SU:,CnR
260,MaT25,The Pride of the Clan,1917,PN:,SU:,Dram
261,MaT27,Poor Little Rich Girl,1917,PN:,SU:,Dram
262,MaT40,Au nom de la loi,1931,PU:,SU:,CnR
263,LMe10,Queen Elizabeth,1912,PN:,St:Engadine Amusement Co; SL:Fr; SD:Famous,BioP
264,LoW3,How Men Propose,1913,PN:,St:Crystal,Dram
265,LoW5,Where are My Children,1916,PN:,St:Universal,Dram
267,LoW10,The Dumb Girl of Portici,1916,PN:,St:Universal,
268,LoW11,The Juvenile Dancer Supreme; Lena Basquette in a Group of Classical Dances,1916,PN:,St:Universal,
269,LoW20,The Dance of Love,1920,PN:,St:Universal,
270,LoW21,Shoes,1920,PN:,St:Universal,
271,ME40,Nelson,1919,PN:,SU:,Ctxx
272,ME60,The Elusive Pimpernel,1912,PN:,SU:,CTxx
273,ME100,The Hound of the Baskervilles,1921,PN:,SU:,CTxx
274,MEl130,Balalava,1928,PN:,SU:,Ctxx
275,MEl150,The School for Scandal,1930,PN:,SU:,Ctxx
276,ME180,The Lodger,1932,PN:,SU:,Susp
277,ME200,The Tunnel,1934,PN:,SU:,Ctxx
278,ME240,The Spider,1940,PN:Victor M. Greene,St:Admiral,Susp
279,ME270,Beware of Pity,1946,PN:,SU:,Ctxx
280,ME300,My Wife's Lodger,1952,PN:,SU:,Ctxx
281,MSe10,Dough and Dynamite,1914,PN:Mack Sennett,St:Keystone,Comd
282,MSe15,Fatty and Mabel at the San Diego Exposition,1915,PN:Mack Sennett,St:Keystone,Comd
283,MSe18,Fatty and Mabel's Simple Life,1915,PN:Mack Sennett,St:Keystone,Comd
284,MSt10,Vampyren,1912,PN:,SU:,Ctxx
285,MSt20,Sir Arne's Treasure,1919,PN:,SU:,Ctxx
286,MSt30,Erotikon,1920,PN:,St:Svensk Film Industri,Comd; Dram
287,MSt40,The Saga of Gosta Berlin,1924,PN:,SU:,Romt
288,MSt50,The Blizzard,1926,PN:,SL:USA,
289,MSt53,The Temptress,1927,PN:,St:MGM,Dram
290,MSt55,Hotel Imperial,1927,PN:,SU:,CTxx
291,MSt60,Street of Sin,1928,PN:,SU:,Ctxx
292,SiO10,From the Manger to the Cross,1912,PN:,St:Kalem,Hist
293,SiO30,Monsieur Beaucaire,1924,PN:,St:Zokor-Lasky,Hist
294,VSj1,Tradgardsmastaren,1912,PN:,St:Svenska Biografteaten,Dram
295,VSj3,The Phantom Carriage,1920,PN:,SU:,Ctxx
296,VSj5,He Who gets Slapped,1924,PN:,SU:,Ctxx
297,VSj6,The Scarlet Letter,1926,PN:,St:MGM,Dram
298,VSj7,The Divine Woman,1927,PN:,St:MGM,BioP
299,VSj8,The Wind,1927,PN:Lars Hanson,St:MGM,Dram
300,Z1210,Within the Law,1912,PU:,SU:,CnR
301,Z1220,Within the Law,1917,PU:,SU:,CnR
302,Z1230,Within the Law,1923,PU:,SU:,CnR
303,ElR10,The Last Days of Pompeii,1913,PN:,St:Ambrosio,Dram
304,NOx10,Il Cadavere Vivente,1913,PN:,St:Savoia,Ctxx
305,NOx20,Rhapsodia Satanica,1917,PN:,St:Cines,Romt
306,AcG10,Fedora; or Piu Forte dell'Odio e Amore,1913,PN:,St:Aquila,DRam
307,BuG10,Blade O'Grass,1915,PN:,St:Edison,West
308,CDM0,California,,D:DeMille,PN:Lasky,n.a.
309,CDM1,The Squaw Man,1913,PN:Lasky,St:Feature Play,West
310,CDM3,The Virginian,1914,PN:Lasky,St:Feature Play,Dram
311,CDM5,Brewster's Millions,1914,P:Lasky,St:Feature Play,Dram
312,CDM6,Rose of the Rancho,1914,P:Lasky,St:Feature Play,Dram
313,CDM7,The Ghost Breaker,1914,P:Lasky,St:Feature Play,Dram
314,CDM8,Call of the North,1915,PN:,SU:,CTxx
315,CDM9,The Girl of the Golden West,1915,P:,St:Feature Play; Paramount,Dram
316,CDM10,The Wild Goose Chase,1915,PN:,SU:,Ctxx
317,CDM11,The Warrens of Virginia,1915,PN:,SU:,Ctxx
318,CDM12,The Arab,1915,PN:,SU:,Ctxx
319,CDM13,The Goose Girl,1915,PN:,SU:,Ctxx
320,CDM15,Carmen,1915,PN:,SU:,Dram
321,CDM16,Maria Rosa,1915,PN:,SU:,CTxx
322,CDM17,The Captive,1915,PN:,St:Feature Play,Dram
323,CDM18,The Cheat,1915,PN:,St:Feature Play,Dram
324,CDM19,The Trail of the Lonesome Pine,1916,PN:,SU:,Dram
325,CDM22,Joan; the Woman,1917,PN:,SU:,Dram
326,CDM32,The Squaw Man,1918,PN:,SU:,West
327,CDM40,The Affairs of Anatol,1921,PN:,St:Paramount,Romt
328,CDM44,Adam's Rib,1923,PN:,St:MGM,Ctxx
329,CDM45,The Ten Commandments,1923,P:DeMille,SU:,Epic
330,CDM51,The King of Kings,1927,P:deMille,St:Pathé,Epic
331,CDM52,Madame Satan,1930,PN:,SU:,
332,CDM54,The Godless Girl,1931,PN:,SU:,
333,CDM55,The Squaw Man,1931,PN:,St:MGM,Dram
334,CDM56,The Sign of the Cross,1932,P:DeMille,St:Paramount,Epic
335,CDM59,Cleopatra,1934,P:deMille,St:Paramount,Dram
336,CDM60,The Crusades,1935,PN:,SU:,Ctxx
337,CDM64,The Plainsman,1936,P:Zukor,S:Paramount,West
338,CDM68,The Buccaneer,1938,PN:,SU:,Epic; Advt
339,CDM70,Union Pacific,1939,P:deMille,St:Paramount,
340,CDM73,Union Pacific,1939,P:deMille,St:Paramount,
341,CDM75,Reap the Wild Wind,1942,PN:,SU:,Epic
342,CDM77,Unconquered,1947,P:deMille,St:Paramount,Epic
343,CDM79,The Greatest Show on Earth,1952,PN:,St:Paramount,Epic
344,CDM80,The Ten Commandments,1956,PN:Henry Wilcoxon,St:Paramount,Epic
345,EGz10,Anthony and Cleopatra,1913,PN:,St:Cines,Dram
346,GBS10,The Perils of Pauline,1913,PN:,SU:,Dram
347,GBS20,The Fatal Ring,1917,PN:,SU:,Dram
348,GBS30,Velvet Fingers,1921,PN:,SU:,Dram
349,GBS40,The Sky Ranger,1925,PN:,SU:,Dram
350,GBS42,The Vanishing American,1925,PN:,St:Paramount,Docu
351,GBS90,The Woman in his Life,1935,PN:,St:MGM,Dram
352,GBS92,The Last of the Mohicans,1936,PN:Edward Small,St:Reliance,Dram;West
353,GBS93,A Family Affair,1936,PN:,St:MGM,Dram
354,GBS95,You're Only Young Once,1938,PN:,St:MGM,Dram
355,GBS96,Judge Hardy's Children,1938,PN:,St:MGM,Dram
356,GBS97,Love Finds Andy Hardy,1938,PN:,St:MGM,Dram
357,GBS98,Out West With the Hardys,1938,PN:,St:MGM,Dram
358,GBS100,6000 Enemies,1939,PN:Lucien Hubbard,St:MGM,Dram
359,GBS102,The Hardys Ride High,1939,PN:,St:MGM,Dram
360,GBS103,Judge Hardy and Son,1939,PN:,St:MGM,Dram
361,GBS110,Andy Hardy Meets a Debutante,1939,PN:,St:MGM,Comd
362,GBS115,Kit Carson,1940,PN:,St:MGM,West
363,GBS120,Sky Murder,1940,PN:,St:MGM,Dram
364,GBS130,Andy Hardy's Private Secretary,1941,PN:,St:MGM,Comd
365,GBS132,Life Begins for Andy Hardy,1941,PN:,St:MGM,Comd
366,GBS140,China Caravan,1942,PN:,St:MGM,Dram
367,GBS144,The Courtship of Andy Hardy,1942,PN:,St:MGM,Comd
368,GBS145,Andy Hardy's Double Life,1942,PN:,St:MGM,Comd
369,GBS150,Andy Hardy's Blonde Trouble,1944,PN:,St:MGM,Comd
370,BHd10,East Lynne,1913,P:William George Barker,SU:,Dram
371,DGP1,Raja Harishchandra,1913,PN:,SU:,Dram
372,HBn5,Ivanhoe,1913,PN:,SU:,Actn
373,HBn8,Neptune's Daughter,1914,PN:,St:Universal,Fant
374,HBn10,The Kreuzer Sonata,1913,PN:,SU:,Ctxx
375,HBn12,War Brides,1916,PN:,SU:,Ctxx
376,HBn15,The Passing of the Third Floor Back,1918,PN:,SU:,Ctxx
377,HBn18,The Sign on the Door,1921,PN:,SU:,Ctxx
378,HBn21,The Spanish Dancer,1923,PN:,SU:,Ctxx
379,HBn25,Peter Pan,1924,P:,St:Paramount,Romt
